epoch,percentage,loss
1,1.1,0.33649009
1,1.1,0.38418493
1,1.1,0.41587251
1,1.1,0.44971523
1,1.1,0.39988503
1,1.1,0.39467055
1,1.1,0.51782578
1,1.1,0.25654152
1,1.1,0.31822264
1,1.1,0.49512500
1,1.1,0.38763395
1,1.1,0.27386656
1,1.1,0.38833320
1,1.1,0.39891517
1,1.1,0.35591179
1,1.1,0.34270570
1,1.1,0.39724773
1,1.1,0.40811217
1,1.1,0.33301258
1,1.1,0.39032176
1,1.1,0.42544830
1,1.1,0.49747854
1,1.1,0.37342680
1,1.1,0.39763293
1,1.1,0.34300029
1,1.1,0.42834163
1,1.1,0.29955998
1,1.1,0.35045007
1,1.1,0.38238215
1,1.1,0.32756078
1,1.1,0.50929642
1,1.1,0.44790700
1,1.1,0.40494829
1,1.1,0.36625081
1,1.1,0.37245438
1,1.1,0.29617870
1,1.1,0.39034534
1,1.1,0.29534113
1,1.1,0.30630991
1,1.1,0.40179151
1,1.1,0.29816890
1,1.1,0.39513728
1,1.1,0.36019152
1,1.1,0.41355276
1,1.1,0.35533622
1,1.1,0.48974851
1,1.1,0.32307228
1,1.1,0.43358055
1,1.1,0.45348337
1,1.1,0.37179700
1,1.1,0.35848689
1,1.1,0.48237202
1,1.1,0.35327783
1,1.1,0.33555600
1,1.1,0.31959429
1,1.1,0.43042129
1,1.1,0.29776299
1,1.1,0.35445780
1,1.1,0.34447452
1,1.1,0.35380962
1,1.1,0.39141232
1,1.1,0.26577318
1,1.2,0.32039726
1,1.2,0.45912850
1,1.2,0.33666664
1,1.2,0.33421469
1,1.2,0.39385402
1,1.2,0.39495409
1,1.2,0.41146657
1,1.2,0.42323142
1,1.2,0.40490511
1,1.2,0.46056607
1,1.2,0.37638995
1,1.2,0.39570493
1,1.2,0.38063711
1,1.2,0.31746778
1,1.2,0.39989799
1,1.2,0.39506957
1,1.2,0.48035401
1,1.2,0.37313432
1,1.2,0.42275470
1,1.2,0.37913021
1,1.2,0.35962033
1,1.2,0.37655911
1,1.2,0.44436184
1,1.2,0.46445915
1,1.2,0.43251067
1,1.2,0.29817981
1,1.2,0.41733652
1,1.2,0.33561528
1,1.2,0.37284940
1,1.2,0.34554803
1,1.2,0.40020448
1,1.2,0.43188134
1,1.2,0.43101567
1,1.2,0.35115469
1,1.2,0.35014561
1,1.2,0.33385509
1,1.2,0.37478426
1,1.2,0.37048498
1,1.2,0.36371455
1,1.2,0.29234207
1,1.2,0.31763244
1,1.2,0.46395767
1,1.2,0.27854854
1,1.2,0.41779125
1,1.2,0.31615672
1,1.2,0.34527045
1,1.2,0.39597976
1,1.2,0.32452947
1,1.2,0.34200272
1,1.2,0.38528255
1,1.2,0.36636376
1,1.2,0.45173475
1,1.2,0.38210073
1,1.2,0.39162800
1,1.2,0.40067708
1,1.2,0.30243805
1,1.2,0.26750866
1,1.2,0.34326169
1,1.2,0.33728883
1,1.2,0.44594055
1,1.2,0.41362730
1,1.2,0.34906125
1,1.2,0.43567795
1,1.2,0.40849265
1,1.2,0.34863639
1,1.2,0.42781866
1,1.2,0.32955661
1,1.2,0.28302464
1,1.3,0.33521414
1,1.3,0.32044974
1,1.3,0.43826696
1,1.3,0.29336902
1,1.3,0.35058257
1,1.3,0.24394797
1,1.3,0.42703247
1,1.3,0.30979913
1,1.3,0.37549868
1,1.3,0.43142277
1,1.3,0.40342522
1,1.3,0.35389623
1,1.3,0.36489344
1,1.3,0.38179773
1,1.3,0.35687986
1,1.3,0.36060569
1,1.3,0.35737973
1,1.3,0.36044723
1,1.3,0.32448101
1,1.3,0.39579964
1,1.3,0.37437195
1,1.3,0.45511192
1,1.3,0.35450488
1,1.3,0.39331692
1,1.3,0.43552503
1,1.3,0.29801923
1,1.3,0.29037109
1,1.3,0.25263801
1,1.3,0.25636259
1,1.3,0.29359710
1,1.3,0.35898611
1,1.3,0.35818726
1,1.3,0.32762763
1,1.3,0.31342432
1,1.3,0.37852949
1,1.3,0.34619707
1,1.3,0.35917431
1,1.3,0.41998383
1,1.3,0.54637778
1,1.3,0.31860632
1,1.3,0.31784463
1,1.3,0.39288530
1,1.3,0.33770078
1,1.3,0.36403930
1,1.3,0.35387737
1,1.3,0.36537099
1,1.3,0.31125212
1,1.3,0.38493815
1,1.3,0.40031520
1,1.3,0.27769586
1,1.3,0.32267600
1,1.3,0.39064187
1,1.3,0.23317920
1,1.3,0.42525986
1,1.3,0.31575063
1,1.3,0.35342190
1,1.3,0.37014571
1,1.3,0.37446976
1,1.3,0.34696037
1,1.3,0.35096416
1,1.3,0.25202069
1,1.3,0.32350081
1,1.3,0.25873426
1,1.3,0.38540107
1,1.3,0.28006586
1,1.3,0.28365389
1,1.3,0.30611819
1,1.3,0.45585555
1,1.3,0.34357691
1,1.4,0.37072101
1,1.4,0.56885558
1,1.4,0.35771799
1,1.4,0.27721497
1,1.4,0.35286587
1,1.4,0.33553380
1,1.4,0.33982298
1,1.4,0.36383277
1,1.4,0.49157164
1,1.4,0.33069140
1,1.4,0.40896970
1,1.4,0.32469437
1,1.4,0.29886839
1,1.4,0.35475594
1,1.4,0.32808274
1,1.4,0.29990539
1,1.4,0.39271417
1,1.4,0.31619248
1,1.4,0.31501433
1,1.4,0.32870385
1,1.4,0.33027759
1,1.4,0.34126273
1,1.4,0.40290040
1,1.4,0.35063615
1,1.4,0.48919269
1,1.4,0.32458118
1,1.4,0.36538497
1,1.4,0.30581361
1,1.4,0.38161910
1,1.4,0.35537550
1,1.4,0.27901301
1,1.4,0.43943343
1,1.4,0.37174332
1,1.4,0.41188988
1,1.4,0.35488874
1,1.4,0.31003228
1,1.4,0.24932766
1,1.4,0.36517754
1,1.4,0.30733758
1,1.4,0.36333689
1,1.4,0.48137146
1,1.4,0.31201285
1,1.4,0.31994858
1,1.4,0.33967990
1,1.4,0.23964211
1,1.4,0.44467869
1,1.4,0.23674434
1,1.4,0.29551813
1,1.4,0.32536805
1,1.4,0.48489234
1,1.4,0.41352251
1,1.4,0.34136346
1,1.4,0.40672550
1,1.4,0.31077719
1,1.4,0.31461006
1,1.4,0.33062536
1,1.4,0.35119218
1,1.4,0.36554086
1,1.4,0.33160624
1,1.4,0.34350556
1,1.4,0.31049865
1,1.4,0.28768525
1,1.4,0.46016407
1,1.4,0.32248765
1,1.4,0.32100719
1,1.4,0.27522296
1,1.4,0.38293299
1,1.4,0.35129631
1,1.4,0.42861152
1,1.5,0.36770168
1,1.5,0.40463153
1,1.5,0.32269543
1,1.5,0.37456024
1,1.5,0.33906838
1,1.5,0.34229699
